case_index,feature,shap_value,abs_shap,feature_value,expected_value
11,f1039,-0.01242254060687535,0.01242254060687535,,0.508065863524093
11,f1634,0.010569480522211723,0.010569480522211723,,0.508065863524093
11,f1635,-0.010569480522211695,0.010569480522211695,,0.508065863524093
11,f1632,0.00960902226058056,0.00960902226058056,,0.508065863524093
11,f1633,-0.00960902226058054,0.00960902226058054,,0.508065863524093
12,f12,0.024990125185614318,0.024990125185614318,-0.8933019388905374,0.508065863524093
12,f13,-0.024990125185614283,0.024990125185614283,0.0,0.508065863524093
12,f14,0.017253037046214198,0.017253037046214198,0.0,0.508065863524093
12,f15,-0.01725303704621416,0.01725303704621416,0.0,0.508065863524093
12,f2,0.015816340466571478,0.015816340466571478,-0.7827273450157295,0.508065863524093
12,f3,-0.015816340466571457,0.015816340466571457,-1.8048492821024607,0.508065863524093
12,f7,0.013478722076448051,0.013478722076448051,-0.17565721509517584,0.508065863524093
12,f6,-0.013478722076448024,0.013478722076448024,-0.7927940632074097,0.508065863524093
12,f1036,0.01247816312420498,0.01247816312420498,,0.508065863524093
12,f1037,-0.01247816312420496,0.01247816312420496,,0.508065863524093
13,f14,0.020180664312680213,0.020180664312680213,0.0,0.508065863524093
13,f15,-0.02018066431268017,0.02018066431268017,0.0,0.508065863524093
13,f1036,0.014830052544872116,0.014830052544872116,,0.508065863524093
13,f1037,-0.014830052544872093,0.014830052544872093,,0.508065863524093
13,f1634,0.013824687767556286,0.013824687767556286,,0.508065863524093
13,f1635,-0.013824687767556253,0.013824687767556253,,0.508065863524093
13,f1038,0.011887661804916096,0.011887661804916096,,0.508065863524093
13,f1039,-0.011887661804916067,0.011887661804916067,,0.508065863524093
13,f1632,0.009960602540611959,0.009960602540611959,,0.508065863524093
13,f1633,-0.009960602540611936,0.009960602540611936,,0.508065863524093
14,f15,0.034820350204581664,0.034820350204581664,0.0,0.508065863524093
14,f14,-0.0348203502045816,0.0348203502045816,0.0,0.508065863524093
14,f1036,0.0160703044440747,0.0160703044440747,,0.508065863524093
14,f1037,-0.01607030444407467,0.01607030444407467,,0.508065863524093
14,f2,0.013203150040080465,0.013203150040080465,0.04025018503996273,0.508065863524093
14,f3,-0.01320315004008045,0.01320315004008045,0.8077370479188888,0.508065863524093
14,f6,0.0131803205099597,0.0131803205099597,-0.3093352927633722,0.508065863524093
14,f7,-0.01318032050995968,0.01318032050995968,0.4724970565571676,0.508065863524093
14,f1038,0.011707939590981336,0.011707939590981336,,0.508065863524093
14,f1039,-0.011707939590981306,0.011707939590981306,,0.508065863524093
15,f1037,0.019353880994326108,0.019353880994326108,,0.508065863524093
15,f1036,-0.01935388099432606,0.01935388099432606,,0.508065863524093
15,f6,0.012679717314055967,0.012679717314055967,-0.06760590754135339,0.508065863524093
15,f7,-0.012679717314055953,0.012679717314055953,0.14841992073099589,0.508065863524093
15,f15,0.01068799831473079,0.01068799831473079,0.0,0.508065863524093
15,f14,-0.010687998314730733,0.010687998314730733,0.0,0.508065863524093
15,f2,0.008862080987638448,0.008862080987638448,0.45173895006780884,0.508065863524093
15,f3,-0.008862080987638436,0.008862080987638436,0.8077370479188888,0.508065863524093
15,f9,0.008130999612422054,0.008130999612422054,0.11051366879441142,0.508065863524093
15,f8,-0.00813099961242204,0.00813099961242204,-0.11607271869254768,0.508065863524093
16,f15,0.027798619328647575,0.027798619328647575,0.0,0.508065863524093
16,f14,-0.027798619328647522,0.027798619328647522,0.0,0.508065863524093
16,f12,0.026692435393803664,0.026692435393803664,-0.23361757568761995,0.508065863524093
16,f13,-0.026692435393803636,0.026692435393803636,0.0,0.508065863524093
16,f1037,0.018850801112715438,0.018850801112715438,,0.508065863524093
16,f1036,-0.0188508011127154,0.0188508011127154,,0.508065863524093
16,f6,0.013135060712639526,0.013135060712639526,-0.7686211246852079,0.508065863524093
16,f7,-0.013135060712639503,0.013135060712639503,0.3799035891782614,0.508065863524093
16,f22,0.011958763495718687,0.011958763495718687,0.0,0.508065863524093
16,f23,-0.01195876349571865,0.01195876349571865,0.0,0.508065863524093
17,f1626,0.02140149225571475,0.02140149225571475,,0.508065863524093
17,f1627,-0.02140149225571474,0.02140149225571474,,0.508065863524093
17,f1086,0.01836415886640986,0.01836415886640986,,0.508065863524093
17,f1087,-0.018364158866409852,0.018364158866409852,,0.508065863524093
17,f1036,0.014954983052590335,0.014954983052590335,,0.508065863524093
17,f1037,-0.014954983052590312,0.014954983052590312,,0.508065863524093
17,f15,0.014179171888883003,0.014179171888883003,0.0,0.508065863524093
17,f14,-0.014179171888882942,0.014179171888882942,0.0,0.508065863524093
17,f6,0.012304249646592453,0.012304249646592453,-0.33350823128557394,0.508065863524093
17,f7,-0.012304249646592436,0.012304249646592436,0.14841992073099589,0.508065863524093
18,f13,0.020012662337300296,0.020012662337300296,0.0,0.508065863524093
18,f12,-0.02001266233730026,0.02001266233730026,-0.5888322327968832,0.508065863524093
18,f6,0.01604830766223765,0.01604830766223765,2.2771691291122287,0.508065863524093
18,f7,-0.016048307662237627,0.016048307662237627,0.009529719662636578,0.508065863524093
18,f1634,0.015595945339608229,0.015595945339608229,,0.508065863524093
18,f1635,-0.015595945339608203,0.015595945339608203,,0.508065863524093
18,f22,0.014641544844632601,0.014641544844632601,0.0,0.508065863524093
18,f23,-0.014641544844632582,0.014641544844632582,0.0,0.508065863524093
18,f1036,0.01444296243866588,0.01444296243866588,,0.508065863524093
18,f1037,-0.014442962438665859,0.014442962438665859,,0.508065863524093
19,f8,0.022142689412896415,0.022142689412896415,-0.11607271869254768,0.508065863524093
19,f9,-0.022142689412896394,0.022142689412896394,0.7300080564457341,0.508065863524093
19,f1036,0.014660930214406268,0.014660930214406268,,0.508065863524093
19,f1037,-0.014660930214406247,0.014660930214406247,,0.508065863524093
19,f14,0.01328457197151573,0.01328457197151573,0.0,0.508065863524093
19,f15,-0.013284571971515682,0.013284571971515682,0.0,0.508065863524093
19,f22,0.010408533307014137,0.010408533307014137,0.0,0.508065863524093
19,f23,-0.010408533307014104,0.010408533307014104,0.0,0.508065863524093
19,f1038,0.010401193004464723,0.010401193004464723,,0.508065863524093
19,f1039,-0.010401193004464696,0.010401193004464696,,0.508065863524093
20,f8,0.022668342506712912,0.022668342506712912,-0.11607271869254768,0.508065863524093
20,f9,-0.022668342506712888,0.022668342506712888,-0.0959844604226952,0.508065863524093
